Trees/Saps,BLKFpg,BLKXpg,BLKFpm,BLKXpm,BLKFll,BLKXll,RIDFpg,RIDXpg,RIDFll,RIDXll,ROKFpg,ROKXpg
1550,,,,,,,,,,,0,0
1560,,,,,,,,,,,0,0
1570,,,,,,,,,,,1,0
1580,,,,,,,,,,,1,0
1590,,,,,,,,,,,0,0
1600,,,,,,,,,,,0,0
1610,,,,,,,,,,,1,0
1620,,,,,,,,,,,1,0
1630,,,,,,,,,,,0,0
1640,,,,,,,,,,,0,0
1650,,,,,,,,,,,0,0
1660,,,,,,,,,,,1,0
1670,,,,,,,,,,,1,0
1680,,,,,,,,,,,1,0
1690,,,,,,,,,,,1,0
1700,0,0,0,0,0,0,0,0,0,0,3,0
1710,0,0,0,0,0,0,0,0,0,0,4,0
1720,0,0,1,0,0,0,0,0,0,0,7,0
1730,0,0,0,0,0,0,1,0,0,0,4,0
1740,0,0,0,0,1,1,0,0,0,0,2,0
1750,0,0,0,0,0,0,2,0,0,0,6,0
1760,0,0,0,1,0,0,1,0,0,0,2,0
1770,0,0,0,1,0,0,0,0,0,0,4,0
1780,0,0,0,2,0,0,0,0,0,0,1,0
1790,0,0,0,2,0,0,1,0,0,0,1,0
1800,0,0,0,2,0,1,0,0,0,0,0,0
1810,0,0,0,2,0,0,1,0,0,0,0,0
1820,0,0,0,2,0,0,4,0,0,0,1,0
1830,0,0,0,4,1,0,6,1,0,0,0,0
1840,0,0,1,4,0,0,2,1,0,0,1,1
1850,2,0,0,7,0,2,4,1,0,0,0,0
1860,4,0,1,2,0,1,3,0,0,0,2,1
1870,0,0,1,4,0,0,7,0,0,0,5,0
1880,7,0,2,1,2,1,7,0,0,0,1,1
1890,6,0,3,4,9,2,6,3,0,0,3,0
1900,4,0,4,0,1,0,9,3,0,0,6,3
1910,1,2,2,1,5,4,6,2,0,0,4,14
1920,1,1,4,4,2,2,3,12,0,0,4,21
1930,2,4,3,6,2,0,1,17,0,1,7,17
1940,0,2,2,4,0,1,0,25,1,0,4,25
1950,0,0,1,0,0,3,0,17,0,0,3,29
1960,0,0,5,2,0,2,0,10,3,0,4,6
1970,0,2,3,2,2,2,0,1,11,0,5,5
1980,0,0,3,1,9,0,0,0,12,3,3,6
1990,0,0,2,1,3,0,0,0,20,2,1,2
2000,0,0,1,0,0,1,0,0,2,0,0,0