series,pith.offset
84.2,2
#?a,2
#?b,2
108a,4
108b,4
110.1a,8
110.1b,8
110.2a,10
110.2b,10
111.2a,8
111.2Aa,5
111.2Ab,5
111.2b,8
1a,3
1b,3
2.1a,3
2.1b,3
2.2a,2
2.2b,2
202.1a,10
202.1b,10
202.2a,5
202.2b,5
203.1a,2
203.1b,2
203.2a,3
203.2b,3
205.2a,5
205.2b,5
206.1a,0
206.1b,0
206.2a,0
206.2b,0
209.1a,0
209.1b,0
209.2a,1
209.2b,1
210.1a,0
210.1b,0
210.2a,0
210.2b,0
213.1a,3
213.1b,3
213.2a,3
213.2b,3
744.1a,3
744.1b,3
246.1a,4
246.1b,4
247.1a,4
247.1b,4
255.1a,4
255.1b,4
255.2a,4
255.2b,4
256.1a,0
256.1b,0
256.2a,5
256.2b,5
262.1a,0
262.1b,0
262.2a,0
262.2b,0
263.1a,0
263.1b,0
263.2a,2
263.2b,2
264.2b,0
269.1a,2
269.1b,2
269.2a,0
269.2b,0
2a,1
2b,1
337.1a,5
337.1b,5
337.2a,2
337.2b,2
338.1a,0
338.1b,0
339.2a,0
339.2b,0
340.1a,3
340.1b,3
340.2a,2
340.2b,2
341.1a,0
341.1b,0
342.1a,2
342.1b,2
342.2a,0
343.1b,3
343.2a,2
344.1a,1
344.1b,1
344.2a,1
344.2b,1
53.1a,8
53.1b,8
53.2a,4
53.2b,4
57.1a,2
57.1b,2
60.2a,5
60.2b,5
62.1a,0
62.1b,0
62.2a,2
62.2b,2
63.2a,5
63.2b,5
743.1a,3
743.1b,3
743.2b,3
749.1a,4
749.1b,4
749.2a,0
749.2b,0
751.1a,5
751.1b,5
751.2a,5
751.2Aa,4
751.2Ab,4
751.2b,5
752.1a,0
752.1b,0
752.2a,0
752.2b,0
753.1a,3
753.1b,3
753.2b,0
754.1a,4
754.1b,4
754.2a,5
754.2b,5
755.1a,2
755.1b,2
755.2a,2
755.2b,2
756.1a,5
756.1b,5
756.2a,4
756.2b,4
757.1a,0
757.1b,0
758.1a,0
758.1b,0
758.2b,3
759.1a,3
759.1b,3
759.2a,5
759.2b,5
760.1a,3
760.2a,4
760.2b,4
761.1a,2
761.1b,2
761.2a,0
761.2b,0
762.1a,5
762.1b,5
762.2a,4
762.2b,4
764.1b,4
764.2a,3
764.2b,3
765.1b,0
765.2a,3
765.2b,3
766.1a,0
766.2a,0
766.2b,0
767.1a,0
768.1a,0
768.2b,3
769.1b,0
769.2a,0
769.2b,0
770.1a,5
770.1b,5
770.2a,0
770.2b,0
771.1a,2
771.1b,2
771.2a,1
771.2b,1
772.1a,2
772.1b,2
772.2a,0
772.2b,0
773.1a,0
773.1b,0
773.2a,0
773.2b,0
774.1b,0
774.2a,2
774.2b,2
775.1a,6
775.2a,3
775.2b,3
776.1a,4
776.1b,4
776.2a,0
776.2b,0
777.1a,3
777.1b,3
777.2a,0
777.2b,0
778.1a,0
778.2b,0
779.1a,2
779.1b,2
779.2a,4
779.2b,4
780.1a,0
780.1b,0
780.2a,0
780.2b,0
781.1b,0
782.1a,0
782.1b,0
782.2a,0
782.2b,0
783.2a,0
783.2b,0
785.1b,1
785.2a,0
785.2b,0
787.1a,0
787.1b,0
787.2a,0
787.2b,0
788.1a,1
788.2a,0
84.1a,0
86.1a,5
86.1b,5
86.2a,3
86.2b,3
88.1a,3
88.1b,3
88.2b,0
90.1a,5
90.1b,5
90.2a,3
90.2b,3
92.1a,5
92.1b,5
92.2a,4
92.2b,4
93.1a,5
93.1b,5
93.2a,3
93.2b,3
94.1a,5
94.1b,5
98.2a,4
98.2b,4
EF3.1Aa,0
EF3.1Ab,0
EF3.1Ba,2
EF3.1Bb,2
LT1a,4
LT1b,4
LT2a,2
LT2b,2