season,year,ppa.Tair,ppa.cLd.0,ppa.cLd.5,ppa.cLd.10,ppa.cLd.15,ppa.cLd.20,ppa.cLd.25,ppa.cLdLi.5,ppa.cLdLi.10,ppa.cLdLi.15,ppa.cLdLi.20,ppa.cLdLi.40,ppa.cLdLi.80,ppa.wdMo.5,ppa.wdMo.10,ppa.wdMo.15,ppa.wdMo.40,ppa.wdMo.80,ppa.wwBg.10,ppa.wwBg.5,ppa.wwBg+5,ppd.Temp.150.cm,ppd.Mast0.cm,ppd.Mast.5.cm,ppd.Mast.10.cm,ppd.Mast.15.cm,ppd.Mast.20.cm,ppd.Mast.40.cm,ppd.Mast.80.cm,ppd.Mast.100.cm,ppd.Mast.200.cm,ppd.Mast.230.cm
cool,2002,-11.54205797,-6.909369565,-5.922041667,-5.562929348,-5.09423913,-4.733172101,-4.292315217,-10.08634964,-7.740766304,-5.987137681,-4.699762681,-3.088744565,-2.583125,-2.337179348,-3.607847826,-2.851304348,-2.064856884,-2.074896739,-0.944639493,-1.150266304,-8.449077899,-11.34103809,-7.845873076,-6.510725538,-5.000941026,-5.123212616,-3.620483852,-1.6166512,-1.387280961,NA,NA,NA
cool,2003,-13.23234774,-10.38959053,-9.714146091,-9.988938272,-9.762332647,-9.522415638,-9.23719273,-12.70477915,-10.87740535,-9.839710562,-9.195348422,-8.084253772,-7.167855281,-6.89454321,-7.579293553,-7.211894376,-6.604015089,-6.341717421,-6.411255144,-6.502962277,-11.60026886,-13.262765,-10.92417914,-10.45064054,-8.287537129,-8.440136479,-7.632427452,-6.459479895,-5.818050075,NA,NA,NA
cool,2004,-16.64791735,-12.65566189,-12.12793169,-11.90856148,-11.55830943,-11.1775765,-10.71609221,-15.93352801,-13.73978347,-12.10523907,-11.16675956,-9.409949454,-7.999376366,-7.570086066,-9.126737022,-8.469101776,-7.252997268,-6.742754098,-7.258531421,-7.400625683,-15.29827869,-16.65007003,-14.03351182,-12.84900711,-10.7972916,-10.67185416,-9.701839208,-7.744515415,-6.747504664,NA,NA,NA
cool,2005,-12.7034369,-10.27097957,-10.02256893,-9.89379082,-9.64946252,-9.400999591,-9.062921672,-11.69765412,-10.34266581,-9.7057179,-9.340331919,-8.208305036,-7.546428343,-7.470130097,-7.802426352,-7.377983095,-7.051059197,-6.7775383,-6.393328303,-6.495953911,-12.15930747,-12.74234705,-10.84965432,-10.38668107,-10.10662689,-9.808124829,-9.079826475,-7.385233196,-6.771731824,NA,NA,NA
cool,2006,-10.47682716,-7.527767436,-7.107301588,-7.091263122,-6.869943413,-6.710442737,-6.540230384,-9.270713098,-7.665224509,-7.145924635,-6.625016299,-5.867635083,-5.391994199,-4.350996524,-5.086644021,-4.754832211,-4.602763869,-4.688407816,-3.997867482,-4.064027279,-9.336389028,-10.54727846,-7.976938957,-7.58101166,-7.358718793,-7.137109739,-6.488738683,-5.21315775,-4.783258573,0.076801581,-1.698597727,-1.905514554
cool,2007,-13.2732476,-10.51599451,-9.842933471,-9.816340878,-9.499071331,-9.304260631,-9.078633059,-12.03665981,-10.4001893,-9.53144856,-8.895443073,-7.898940329,-6.808687243,-5.729441701,-7.04898834,-6.490241427,-5.787393004,-5.620533608,-5.696810014,-5.846556241,-12.32868724,-13.38754458,-10.61762346,-10.07300274,-9.760311385,-9.502860768,-8.560836077,-6.444540466,-5.592076132,-0.264698803,-1.675680952,-1.833816256
cool,2008,-14.24402573,-11.15990556,-10.43602926,-10.26950753,-9.95203333,-9.769331073,-9.565259319,-12.51970124,-10.72201045,-9.93811996,-9.366855327,-8.443804632,-7.546085102,-6.318772713,-7.99304288,-7.561867366,-6.712465569,-6.699117197,-6.482421857,-6.499963952,-12.98043542,-14.29812158,-11.42934563,-10.75923292,-10.42207377,-10.1568306,-9.239681694,-7.284565574,-6.549234973,-0.611034503,-1.833355419,-1.970403986
cool,2009,-13.30078189,-9.780912894,-8.772790123,-8.606473251,-8.322636488,-8.153135117,-7.975609739,-11.51616461,-9.951449246,-8.934062414,-8.167853909,-7.082592593,-6.385238683,-5.926336077,-6.970415638,-6.628357339,-5.827911523,-5.688690672,-5.604765432,-5.674463649,-12.26136968,-13.55141713,-10.41626471,-9.530667119,-8.834745985,-8.652240805,-7.802372243,-6.022518137,-5.419071167,-0.369327397,-1.711626442,-1.870998789
cool,2010,-9.26017284,-6.630961591,-5.99150823,-6.076226337,-5.858786694,-5.720682442,-5.601332647,-7.870474623,-6.43937037,-6.187753086,-5.613633059,-5.067270919,-4.696742112,-3.618740055,-4.32644856,-4.109836763,-3.432095336,-4.07029561,-3.38810631,-3.477761317,-8.235587106,-9.341025287,-7.130309805,-6.982631184,-5.108452558,-5.668386462,-5.279270015,-4.52435578,-4.158871138,-0.373622511,-1.676356933,-1.824223
cool,2011,-12.99849246,-9.158846365,-8.034990398,-8.106085734,-7.773663923,-7.54423594,-7.356168038,-10.92096091,-9.261726337,-8.097100137,-7.521686557,-6.668377229,-5.493034979,-5.205358025,-6.455444444,-6.045997942,-4.933521948,-4.85651989,-5.084593964,-5.154491084,-11.50484088,-13.05965569,-9.930346365,-9.343081619,-6.362434842,-8.992897805,-7.900504801,-6.043853224,-5.126616598,-0.594087106,-1.672150892,-1.813666667
cool,2012,-12.64611407,-9.697413934,-8.928631831,-8.768704235,-8.44506694,-8.228545082,-8.046879098,-10.45864891,-9.680387295,-8.589020492,-8.260379781,-7.318516393,-6.119574454,-4.867360656,-7.058631831,-6.633286202,-5.387680328,-5.479599727,-5.514463798,-5.666665984,-11.46423087,-12.60254098,-9.84077459,-9.301413251,-6.523504781,-9.018989071,-7.973117486,-6.253553279,-5.235901639,-0.26985724,-1.615634563,-1.772938217
cool,2013,-15.29702195,-11.19302949,-10.43286831,-10.10843759,-9.774945816,-9.545349794,-9.338676955,-12.61892661,-11.18406241,-9.736320988,-9.589979424,-8.424118656,-6.974068587,-6.502152949,-7.813515089,-7.415984911,-6.5559369,-6.235831276,-6.602774348,-6.615009602,-13.84800069,-15.29931906,-12.21234013,-11.39131581,-7.103045942,-11.13844577,-10.00562364,-7.631359945,-6.308779223,-0.112772499,-1.626414664,-1.793557335
cool,2014,-14.20637243,-11.01730041,-10.40446365,-10.29228669,-10.00927778,-9.82220096,-9.649230453,-12.00603635,-10.91306447,-9.6863107,-9.692396433,-8.83454321,-7.660897119,-7.494045953,-8.515932099,-8.185257888,-7.394985597,-6.98789369,-7.319438957,-7.389386145,-13.16472634,-14.12796708,-11.64562826,-11.03824829,-8.245587791,-10.73523182,-9.52715264,-7.72162963,-6.716065844,-0.981639232,-1.965210562,-2.063315368
cool,2015,-12.87159465,-9.793261317,-9.288960905,-9.136541838,-8.850014403,-8.687302469,-8.55346845,-9.980144033,-9.478884774,-8.501465706,-8.589048011,-7.91257476,-7.048799726,-6.217115912,-7.07741701,-6.915240741,-6.428311385,-6.265495885,-5.996713306,-5.938304527,-11.58105624,-12.8350274,-10.1807514,-9.634910362,-6.969006075,-9.124179631,-8.04326171,-6.478621598,-5.769264329,-0.621415692,-1.924302489,-2.067280706
cool,2016,-13.21941814,-8.975698567,-8.905664497,-8.236228228,-7.935459927,-7.761483621,-7.602318163,-10.11852176,-9.400010686,-8.263531715,-8.021982923,-7.063320563,-6.152265238,-5.215471551,-6.154688159,-5.925527922,-5.341015356,-5.262154384,-5.107490044,-5.187321232,-11.49695829,-13.19991235,-9.784382919,-8.978015429,-7.107287824,-7.295762095,-6.828116341,-5.838912384,-5.197394461,-0.760767831,-1.908756206,-2.042051531
cool,2017,-13.61213276,-10.15073935,-9.482664495,-9.311566236,-8.999916959,-8.788478506,-8.552042897,-11.76328181,-10.28936993,-9.19498398,-8.716279284,-7.63348399,-6.64606437,-5.312268092,-6.453226644,-6.080510138,-5.995327543,-5.832846131,-5.017511072,-5.083479264,-12.25982505,-13.71871056,-10.33796914,-9.548517833,-5.84722085,-9.30238546,-8.02086848,-6.178470508,-5.379676269,-0.645665981,-1.851972565,-2.004187929
cool,2018,-26.25078588,-21.07690007,-19.29409497,-19.10444375,-18.51217946,-17.95451845,-17.37843622,-24.21062922,-21.48467405,-18.92006534,-17.88035041,-15.09220483,-11.66020811,-10.13884025,-12.13308645,-11.40378413,-11.14314547,-9.398644669,-9.857453061,-10.04763987,-24.78426557,-26.30587838,-22.9435473,-20.56797297,-10.70459459,-19.84081081,-17.03659044,-12.38719595,-9.497064189,0.059807432,-1.512212395,-1.759797297
warm,2002,9.77506,9.613928333,8.564761667,6.885181667,5.19759,3.859575,2.716545,11.10998167,10.38271667,8.852988333,6.32457,0.888191667,-0.968376667,4.495951667,9.250513333,7.057718333,0.019881667,-1.016146667,3.72754,4.32051,10.76363333,10.05702071,10.52530955,9.374442213,7.895059673,7.828997428,4.929600497,0.234318295,-1.16813361,NA,NA,NA
warm,2003,10.75339071,10.68084016,9.459550546,7.669953552,5.835193989,4.478184426,3.276278689,12.49753825,11.62695902,9.793243169,6.984663934,1.203434426,-1.07834153,4.350715847,9.83940558,7.374348361,0.515810109,-1.15667623,4.200181694,5.183218579,11.95907923,10.89799046,11.40289484,9.530386292,8.011810967,7.952121209,4.790018093,0.227064752,-1.250174812,NA,NA,NA
warm,2004,8.292204918,8.852952186,7.284612022,5.811736339,4.094803279,2.928870219,1.91570765,10.05871038,10.24556694,8.215494536,5.035635246,0.217881148,-1.564592896,2.990838798,8.093893443,6.234344262,-0.074648907,-1.569286885,2.861909836,3.771370219,9.586939891,8.768013453,11.68595041,9.60107406,8.313782221,7.364388935,4.63303667,-0.177894545,-1.44851313,NA,NA,NA
warm,2005,10.31242623,10.03510109,9.23629235,7.12093306,5.234409836,3.893157104,2.618665301,11.96716803,12.13078689,9.623443989,6.714057377,0.813184426,-1.083202186,3.147418033,9.040012295,6.77038388,0.148639344,-1.194348361,3.791106557,4.81670765,11.33822951,10.40913798,11.31766803,9.699743169,8.285870219,6.713642077,4.194174863,0.084051913,-1.064363388,NA,NA,NA
warm,2006,10.94027869,10.99255204,9.543925421,7.694629383,5.812806292,4.499879547,3.260516772,12.64280138,12.38218015,9.43225391,6.83432042,1.224071918,-0.932573011,3.322290019,9.331894212,7.288872548,0.425326716,-0.979793057,3.730986297,4.795385285,12.02503166,11.00183333,11.71270082,10.02244126,8.695290984,7.177416667,4.556618852,0.422166667,-0.871068306,0.71208157,-2.130142367,-2.292023303
warm,2007,9.399121585,9.993464481,8.339442623,6.938326503,5.185635246,4.002793716,2.883096995,11.06895219,10.97949454,8.426887978,5.74922541,0.839945355,-1.019084699,3.639114754,8.689780055,6.858497268,0.576901639,-1.026228142,3.223198087,4.347740437,10.53233607,9.525273224,10.10703962,8.769079235,7.640662568,6.300050546,4.018889344,0.228202186,-0.923741803,0.168159536,-2.064928711,-2.20824699
warm,2008,10.21885708,11.03731794,9.369956778,7.840160106,5.925603133,4.529169471,3.309833021,11.96578637,11.6841593,9.634941141,6.947806031,0.979155701,-1.171632117,3.54734228,9.272827981,7.16611218,0.281309985,-1.303631009,3.237049573,4.618813459,11.47660223,10.25357514,11.11994809,9.616237705,8.343413934,6.871505464,4.503587432,0.184418033,-1.124266393,1.035060583,-2.270823538,-2.44320691
warm,2009,8.064106557,8.996491803,7.36507377,6.143770492,4.521270492,3.382852459,2.383833333,9.901758197,10.08558333,8.073439891,5.559346995,0.409960383,-1.287290984,2.724028689,7.114984973,5.606763661,0.023454918,-1.448128415,2.429595628,3.403599727,9.384851093,8.154868573,9.304739743,8.202719397,6.744799943,6.754664704,4.105159508,-0.167638627,-1.452382335,0.56436088,-2.163546809,-2.324603067
warm,2010,9.963691257,10.6929235,8.936218579,7.713404372,5.875868852,4.54297541,3.44711612,11.72256831,11.65971721,9.463954918,6.714935792,1.098948087,-0.770106557,3.50761612,8.576124317,6.854080601,0.812344262,-0.839034153,3.224551913,4.294394809,11.19239071,10.1001611,10.35444876,8.934901421,7.399749158,7.718450005,3.769502793,-0.033177413,-1.229803597,-0.713395802,-2.136668273,-2.270669831
warm,2011,11.10222131,11.61179781,9.632112022,8.38311612,6.420430328,4.960956284,3.80364071,12.81604372,12.40976913,11.03836202,8.008150273,1.664855191,-0.937188525,3.538370219,9.524855191,7.430983607,0.842793716,-1.052047814,3.381527322,4.757845628,12.46478005,11.22545219,11.11231284,9.559214481,8.071714481,8.238666667,4.77035929,0.197971311,-1.448887978,-0.622494536,-2.100842896,-2.219137978
warm,2012,10.41485109,11.17573497,9.325674863,8.173334699,6.275401639,4.86886612,3.720892077,12.34899044,11.86181694,8.942709016,7.387087432,1.485025956,-0.942704918,2.974699454,9.001322404,6.830139344,0.817706284,-1.091561475,3.174367486,4.523289617,11.8642418,10.59071038,10.61006967,9.155329235,7.742030055,7.982210383,4.849763661,0.296398907,-1.347960383,0.267613388,-2.038479508,-2.175948087
warm,2013,11.32031284,11.86204372,10.16795355,8.721248634,6.763546448,5.225469945,3.927372951,12.81389617,12.14517077,8.054796448,7.886579235,1.502728142,-1.00345082,3.426136612,9.695647541,7.391815574,0.207601093,-1.239882514,2.739635246,4.341005464,12.62269536,11.48081284,11.75027596,9.888099727,8.107005464,8.649483607,5.495193989,0.353648907,-1.405204918,0.758915301,-2.066083333,-2.226099727
warm,2014,10.46680055,10.95292077,8.278321038,7.804437158,5.929459016,4.50688388,3.372766393,11.46872814,11.38059973,5.952818306,6.746885246,1.235822404,-1.043927596,2.688976776,8.452460383,6.492803279,0.249174863,-1.303413934,2.422495902,3.711348361,11.55815301,10.66041257,10.69948224,8.888434426,7.215621585,7.808401639,4.941284153,0.334437158,-1.43198224,0.571300546,-2.414862022,-2.600051913
warm,2015,9.409445355,10.17452596,7.453853825,7.116606557,5.23559153,3.912039617,2.888346995,10.55406421,10.22052869,4.991617486,5.663453552,0.929969945,-1.016263661,2.25210929,7.473786598,5.599632514,0.188758197,-1.250019126,2.258714481,3.339715847,10.5900806,9.695133461,9.890658371,8.387029528,6.493485231,7.178307363,3.9870821,0.05528923,-1.328772709,1.306092298,-2.350376245,-2.538506122
warm,2016,9.844837391,10.71212053,7.802888982,7.427840087,5.518106198,4.217893534,3.150032546,9.865155555,10.63521468,4.877777769,5.797132053,0.805184813,-0.98278764,1.916248536,8.322089936,6.368089092,0.221551337,-1.135623733,2.008582992,3.053746425,11.1478301,10.02083464,10.37987656,8.723988267,6.842991099,7.353853683,4.145267255,-0.058675276,-1.369490342,0.920877336,-2.336398671,-2.527720638
warm,2017,10.70249024,11.16761954,9.180508271,7.657510297,5.703137939,4.340472554,3.174760961,12.37601162,12.14293365,8.902736203,6.916984101,1.048105187,-1.052333245,2.76982699,8.550267194,6.484145441,0.362746543,-1.178525487,2.578372412,3.419866542,12.05578369,11.26737978,11.48879235,9.364478142,7.111290984,8.092756831,4.745605228,0.137021858,-1.384357923,2.733092959,-2.284504098,-2.486355191