year,site,min,mean,max,sd,se,n
2006,AIR,33,82,200,40.9,6.03,46
2007,AIR,31,74,182,28.84,2.53,130
2008,AIR,26,62,160,22.06,1.94,130
2009,AIR,34,64,195,28.98,2.54,130
2010,AIR,30,62,185,25.21,2.21,130
2011,AIR,18,68,198,27.36,2.42,128
2012,AIR,35,72,175,23.41,2.05,130
2013,AIR,32,70,165,24.49,2.16,129
2014,AIR,18,60,121,18.01,1.58,130
2015,AIR,26,56,110,14.04,1.24,129
2016,AIR,33,63,145,22.45,1.97,130
2017,AIR,31,59,123,17.59,1.54,130
2018,AIR,30,70,165,27.44,2.41,130
2019,AIR,33,69,192,24.66,2.16,130
2020,AIR,29,71.11538462,150,24.18297005,2.120986781,130
2021,AIR,32,70.91338583,138,23.16539004,2.03173911,130
2022,AIR,45,80.256,162,25.62316996,2.247300669,130
2023,AIR,45,88.22047244,194,34.16159391,2.996169989,130
2024,AIR,45,90.65983607,196,32.36531318,2.838625748,130
2011,BLK,63,93,145,23.34,4.26,30
2012,BLK,64,95,134,20.53,3.75,30
2013,BLK,NA,NA,NA,NA,NA,NA
2014,BLK,60,97,126,15.96,2.91,30
2015,BLK,53,94,126,17.19,3.14,30
2016,BLK,59,96,125,17.54,3.2,30
2017,BLK,60,94,125,19.39,3.54,30
2018,BLK,57,100,130,22.23,4.06,30
2019,BLK,58,98,136,23.7,4.33,30
2020,BLK,60,98.1,136,23.9,4.4,30
2021,BLK,NA,NA,NA,NA,NA,NA
2022,BLK,67,100.5,151,24.2,4.4,30
2023,BLK,60,104.1,172,34.69408178,6.334243734,30
2024,BLK,67,113.7333333,169,30.4046654,5.551107031,30
2002,PPA,24,36,53,6.46,0.65,98
2003,PPA,NA,NA,NA,NA,NA,NA
2004,PPA,22,37,46,4.37,0.56,60
2005,PPA,NA,NA,NA,NA,NA,NA
2006,PPA,NA,NA,NA,NA,NA,NA
2007,PPA,33,42,70,4.35,0.42,108
2008,PPA,28,42,68,4.72,0.42,128
2009,PPA,27,39,58,4.49,0.4,128
2010,PPA,32,45,80,5.06,0.45,128
2011,PPA,33,46,64,4.83,0.43,128
2012,PPA,32,46,60,4.34,0.38,128
2013,PPA,30,43,66,5.11,0.45,128
2014,PPA,28,42,71,5.54,0.49,126
2015,PPA,23,41,54,4.62,0.43,115
2016,PPA,29,43,69,5.38,0.48,128
2017,PPA,29,43,60,5.31,0.47,128
2018,PPA,26,43,59,5.17,0.46,128
2019,PPA,30,44,57,4.63,0.41,128
2020,PPA,30,44.046875,55,4.569428323,0.403884219,128
2021,PPA,NA,NA,NA,NA,NA,NA
2022,PPA,32,47.75,65,5.275108686,0.46625814,128
2023,PPA,32,47.8984375,61,4.804590724,0.424669835,128
2024,PPA,27,48.58203125,66.5,5.51582453,0.487534616,128
2002,PPD,28,44,61,6.62,0.83,64
2003,PPD,NA,NA,NA,NA,NA,NA
2004,PPD,28,41,59,6.05,0.79,59
2005,PPD,NA,NA,NA,NA,NA,NA
2006,PPD,NA,NA,NA,NA,NA,NA
2007,PPD,25,49,104,9.74,0.81,146
2008,PPD,24,49,89,8.57,0.71,147
2009,PPD,25,42,63,6.04,0.56,117
2010,PPD,26,51,93,9.49,0.78,147
2011,PPD,30,54,86,8.3,0.69,146
2012,PPD,34,54,80,7.08,0.58,147
2013,PPD,37,54,83,9.93,1.81,30
2014,PPD,28,49,76,7.17,0.59,147
2015,PPD,26,48,67,7.45,0.62,145
2016,PPD,32,49,67,6.01,0.5,147
2017,PPD,23,51,79,8.06,0.66,147
2018,PPD,27,49,72,7.28,0.6,147
2019,PPD,33,52,81,7.29,0.6,147
2020,PPD,21,50.24489796,75,8.111881896,0.669056742,147
2021,PPD,NA,NA,NA,NA,NA,NA
2022,PPD,37,56.67346939,87,8.853575445,0.730230595,147
2023,PPD,26,55.50340136,81,8.967501561,0.739627063,147
2024,PPD,31.5,57.13945578,101.5,11.18015339,0.92212351,147