site,species,doe,tree_ht
ti10,pg,1836,2.5
ti10,pg,1937,2.6
ti10,pg,1853,2.7
ti10,pg,1939,2.8
ti10,pg,1945,2.8
ti10,pg,1959,2.8
ti10,pg,1955,3
ti10,pg,NA,3.2
ti10,pg,NA,3.5
ti10,pg,1826,3.6
ti10,pg,1893,3.7
ti10,pg,1944,3.7
ti10,pg,1804,3.8
ti10,pg,1925,3.8
ti10,pg,1842,3.9
ti10,pg,1792,4.2
ti10,pg,1865,4.8
ti10,pg,1942,4.8
ti10,pg,1794,4.9
ti10,pg,1873,4.9
ti10,pg,1916,5
ti10,pg,1854,5.2
ti10,pg,1930,5.3
ti10,pg,1849,5.4
ti10,pg,1898,6.2
ti10,pg,1872,6.7
ti10,pg,1902,7.6
ti10,pg,1841,8.9
ti10,pg,1802,NA
ti10,pg,1863,NA
ti10,Pg,2011,NA
ti10,Pg,2011,NA
ti10,Pg,2011,NA
ti10,Pg,2010,NA
ti10,Pg,2010,NA
ti10,Pg,2010,NA
ti10,Pg,2009,NA
ti10,Pg,2009,NA
ti10,Pg,2007,NA
ti10,Pg,2004,NA
ti10,Pg,2000,NA
ti10,Pg,2000,NA
ti10,Pg,1986,NA
ti11,ll,1964,2.7
ti11,ll,1969,2.8
ti11,ll,1945,3.8
ti11,ll,1971,5.7
ti11,pg,1967,2
ti11,pg,1944,2.1
ti11,pg,1947,2.1
ti11,pg,1963,2.1
ti11,pg,1943,2.2
ti11,pg,1949,2.2
ti11,pg,1951,2.2
ti11,pg,1943,2.3
ti11,pg,1951,2.3
ti11,pg,1952,2.3
ti11,pg,1954,2.3
ti11,pg,1964,2.3
ti11,pg,1957,2.5
ti11,pg,1943,2.6
ti11,pg,1959,2.7
ti11,pg,1948,2.8
ti11,pg,1955,2.8
ti11,pg,1946,3
ti11,pg,1973,3
ti11,pg,1888,3.2
ti11,pg,1943,3.2
ti11,pg,NA,3.2
ti11,pg,1944,3.3
ti11,pg,1952,3.3
ti11,pg,1941,3.5
ti11,pg,1795,3.7
ti11,pg,1877,3.7
ti11,pg,1922,3.7
ti11,pg,1938,3.7
ti11,pg,1944,3.7
ti11,pg,1940,3.8
ti11,pg,1946,3.9
ti11,pg,1934,4
ti11,pg,1796,4.1
ti11,pg,1950,4.2
ti11,pg,1946,4.4
ti11,pg,1877,4.5
ti11,pg,1944,4.5
ti11,pg,1947,4.5
ti11,pg,1957,4.5
ti11,pg,1830,4.7
ti11,pg,1938,4.9
ti11,pg,1957,4.9
ti11,pg,1939,5.4
ti11,pg,1946,5.7
ti11,pg,1959,5.8
ti11,pg,1960,5.8
ti11,pg,1834,5.9
ti11,pg,1846,5.9
ti11,pg,1937,6.1
ti11,pg,1940,6.4
ti11,pg,1949,6.4
ti11,pg,1960,7.1
ti11,pg,1928,7.7
ti11,pg,1878,8.1
ti11,Pg,2011,NA
ti11,Pg,2009,NA
ti11,Pg,2009,NA
ti11,Pg,1991,NA
ti11,pm,1903,2.4
ti11,pm,1902,3
ti11,pm,1882,3.8
ti12,pg,NA,1.8
ti12,pg,1908,2.2
ti12,pg,NA,2.2
ti12,pg,NA,2.2
ti12,pg,1840,2.3
ti12,pg,NA,2.3
ti12,pg,1859,2.5
ti12,pg,1937,2.5
ti12,pg,1827,2.6
ti12,pg,1859,2.7
ti12,pg,1943,3
ti12,pg,1920,3.1
ti12,pg,1921,3.1
ti12,pg,1930,3.1
ti12,pg,1851,3.2
ti12,pg,1912,3.5
ti12,pg,1919,3.6
ti12,pg,1895,3.7
ti12,pg,1925,3.7
ti12,pg,1926,4
ti12,pg,1932,4.2
ti12,pg,1860,4.6
ti12,Pg,2009,NA
ti12,Pg,2008,NA
ti12,Pg,2004,NA
ti12,Pg,2004,NA
ti12,Pg,2003,NA
ti12,Pg,2002,NA
ti12,Pg,2000,NA
ti12,Pg,2000,NA
ti12,Pg,2000,NA
ti12,Pg,2000,NA
ti12,Pg,2000,NA
ti12,Pg,1999,NA
ti12,Pg,1999,NA
ti12,Pg,1998,NA
ti12,Pg,1997,NA
ti12,Pg,1997,NA
ti12,Pg,1997,NA
ti12,Pg,1997,NA
ti12,Pg,1995,NA
ti12,Pg,1995,NA
ti12,Pg,1994,NA
ti12,Pg,1994,NA
ti12,Pg,1994,NA
ti12,Pg,1989,NA
ti12,Pg,1989,NA
ti12,Pg,1988,NA
ti12,Pg,1988,NA
ti12,Pg,1988,NA
ti12,Pg,1986,NA
ti12,Pg,1983,NA
ti12,Pg,1981,NA
ti12,Pg,1979,NA
ti12,Pg,1979,NA
ti12,Pg,1977,NA
ti12,Pg,1976,NA
ti12,Pg,1975,NA
ti12,Pg,2005,NA
ti13,Ll,2009,NA
ti13,pg,1950,2.3
ti13,pg,1909,2.4
ti13,pg,1932,2.5
ti13,pg,1790,2.6
ti13,pg,1919,2.9
ti13,pg,1877,3.1
ti13,Pg,2008,NA
ti13,Pg,2007,NA
ti13,Pg,2005,NA
ti13,Pg,2004,NA
ti13,Pg,2003,NA
ti13,Pg,2002,NA
ti13,Pg,2000,NA
ti13,Pg,1996,NA
ti13,Pg,1996,NA
ti13,Pg,1993,NA
ti13,Pg,1988,NA
ti13,Pg,1986,NA
ti13,Pg,1977,NA
ti14,Pg,2010,NA
ti14,Pg,2010,NA
ti14,Pg,2010,NA
ti14,Pg,2010,NA
ti14,Pg,2010,NA
ti14,Pg,2009,NA
ti14,Pg,2009,NA
ti14,Pg,2008,NA
ti14,Pg,2008,NA
ti14,Pg,2007,NA
ti14,Pg,2006,NA
ti14,Pg,2006,NA
ti14,Pg,2005,NA
ti14,Pg,2005,NA
ti14,Pg,2001,NA
ti14,Pg,1997,NA
ti14,Pg,1995,NA
ti14,Pg,1994,NA
ti14,Pg,1994,NA
ti14,Pg,1992,NA
ti14,Pg,1991,NA
ti14,Pg,1990,NA
ti14,Pg,1988,NA
ti14,Pg,1988,NA
ti14,Pg,1984,NA
ti14,Pg,1984,NA
ti14,Pg,1983,NA
ti14,Pg,1983,NA
ti14,Pg,1982,NA
ti14,Pg,1981,NA
ti14,Pg,1981,NA
ti14,Pg,1978,NA
ti14,Pg,1974,NA
tis,pg,NA,1.8
tis,pg,NA,1.8
tis,pg,1950,1.9
tis,pg,NA,1.9
tis,pg,NA,1.9
tis,pg,NA,2.1
tis,pg,1964,2.2
tis,pg,1961,2.3
tis,pg,1910,2.4
tis,pg,1862,2.5
tis,pg,1958,2.7
tis,pg,NA,2.9
tis,pg,NA,3
tis,pg,NA,3.4
tis,pg,NA,3.4
tis,pg,NA,3.5
tis,pg,NA,3.7
tis,pg,NA,3.7
tis,pg,NA,3.7
tis,pg,1943,3.8
tis,pg,1960,3.8
tis,pg,NA,3.8
tis,pg,1819,4
tis,pg,1901,4
tis,pg,NA,4.1
tis,pg,NA,4.2
tis,pg,NA,4.2
tis,pg,NA,4.3
tis,pg,NA,4.4
tis,pg,1826,4.5
tis,pg,NA,4.7
tis,pg,NA,4.9
tis,pg,NA,4.9
tis,pg,NA,5.2
tis,pg,NA,5.2
tis,pg,1938,5.3
tis,pg,1961,5.3
tis,pg,NA,5.3
tis,pg,NA,5.3
tis,pg,NA,5.3
tis,pg,NA,5.4
tis,pg,NA,5.4
tis,pg,1865,5.6
tis,pg,1940,5.7
tis,pg,NA,5.7
tis,pg,1899,5.9
tis,pg,NA,6.3
tis,pg,NA,6.4
tis,pg,1883,6.7
tis,pg,1935,6.8
tis,pg,NA,7
tis,pg,NA,7.4
tis,pg,NA,7.9
tis,pg,NA,8.2
tis,pg,1907,8.5
tis,pg,1865,8.7
tis,Pg,2011,NA
tis,Pg,2011,NA
tis,Pg,2011,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2010,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2009,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2008,NA
tis,Pg,2007,NA
tis,Pg,2007,NA
tis,Pg,2007,NA
tis,Pg,2007,NA
tis,Pg,2007,NA
tis,Pg,2007,NA
tis,Pg,2007,NA
tis,Pg,2007,NA
tis,Pg,2006,NA
tis,Pg,2006,NA
tis,Pg,2005,NA
tis,Pg,2005,NA
tis,Pg,2005,NA
tis,Pg,2004,NA
tis,Pg,2004,NA
tis,Pg,2003,NA
tis,Pg,2003,NA
tis,Pg,2003,NA
tis,Pg,2003,NA
tis,Pg,2002,NA
tis,Pg,2001,NA
tis,Pg,2001,NA
tis,Pg,1997,NA
tis,Pg,1984,NA
tis,Pg,1970,NA
tis,pm,NA,3.6
tis,pm,1829,4.5
tis,pm,NA,6.5